case_i,label,output,y_true,y_hf
5,post_mean,iteration1_Hcore_after,152.01270034454367,152.23722644323374
5,post_mean,iteration1_wall2,29.872425435252715,29.90487982553742
5,post_mean,iteration2_keff,1.1044254697634508,1.1039720942621345
5,post_mean,iteration2_avg_fuel_temp,1000.3,998.44
5,post_mean,iteration2_max_fuel_temp,1073.45,1069.8
5,post_mean,iteration2_max_monolith_temp,1035.66,1031.58
5,post_mean,iteration2_max_global_stress,102.0,108.43
5,post_mean,iteration2_monolith_new_temperature,950.5468966441668,950.075257782003
5,post_mean,iteration2_Hcore_after,152.00037076968545,152.22684177924532
5,post_mean,iteration2_wall2,29.86956996923706,29.902309936697403
6,post_hi_95,iteration1_avg_fuel_temp,1011.55,1005.02
6,post_hi_95,iteration1_max_fuel_temp,1095.47,1083.65
6,post_hi_95,iteration1_max_monolith_temp,1059.4,1045.95
6,post_hi_95,iteration1_max_global_stress,153.94,208.77
6,post_hi_95,iteration1_monolith_new_temperature,953.8066037743322,951.7944263013675
6,post_hi_95,iteration1_Hcore_after,152.37537537007117,152.64711520430038
6,post_hi_95,iteration1_wall2,29.90899120950233,29.94332598718942
6,post_hi_95,iteration2_keff,1.103888355286264,1.1028743663593819
6,post_hi_95,iteration2_avg_fuel_temp,1000.12,996.12
6,post_hi_95,iteration2_max_fuel_temp,1072.76,1065.3
6,post_hi_95,iteration2_max_monolith_temp,1035.12,1026.71
6,post_hi_95,iteration2_max_global_stress,127.6,175.63
6,post_hi_95,iteration2_monolith_new_temperature,950.51508188614,949.5328080284523
6,post_hi_95,iteration2_Hcore_after,152.3645848553495,152.6389843418247
6,post_hi_95,iteration2_wall2,29.906494274993484,29.941266669071204
6,post_lo_5,iteration1_avg_fuel_temp,1011.55,1018.48
6,post_lo_5,iteration1_max_fuel_temp,1095.47,1107.64
6,post_lo_5,iteration1_max_monolith_temp,1059.4,1073.35
6,post_lo_5,iteration1_max_global_stress,153.94,127.56
6,post_lo_5,iteration1_monolith_new_temperature,953.8066037743322,956.1327866996221
6,post_lo_5,iteration1_Hcore_after,152.37537537007117,151.9386801990136
6,post_lo_5,iteration1_wall2,29.90899120950233,29.859051519330542
6,post_lo_5,iteration2_keff,1.103888355286264,1.1057174356663992
6,post_lo_5,iteration2_avg_fuel_temp,1000.12,1001.8
6,post_lo_5,iteration2_max_fuel_temp,1072.76,1076.59
6,post_lo_5,iteration2_max_monolith_temp,1035.12,1038.99
6,post_lo_5,iteration2_max_global_stress,127.6,99.68
6,post_lo_5,iteration2_monolith_new_temperature,950.51508188614,950.9535777977834
6,post_lo_5,iteration2_Hcore_after,152.3645848553495,151.92507392878477
6,post_lo_5,iteration2_wall2,29.906494274993484,29.855980652186567
6,post_mean,iteration1_avg_fuel_temp,1011.55,1010.43
6,post_mean,iteration1_max_fuel_temp,1095.47,1093.46
6,post_mean,iteration1_max_monolith_temp,1059.4,1057.11
6,post_mean,iteration1_max_global_stress,153.94,163.98
6,post_mean,iteration1_monolith_new_temperature,953.8066037743322,953.4486707412535
6,post_mean,iteration1_Hcore_after,152.37537537007117,152.27987579385032
6,post_mean,iteration1_wall2,29.90899120950233,29.89958005468766
6,post_mean,iteration2_keff,1.103888355286264,1.1038606524872259
6,post_mean,iteration2_avg_fuel_temp,1000.12,998.65
6,post_mean,iteration2_max_fuel_temp,1072.76,1070.17
6,post_mean,iteration2_max_monolith_temp,1035.12,1032.05
6,post_mean,iteration2_max_global_stress,127.6,134.2
6,post_mean,iteration2_monolith_new_temperature,950.51508188614,950.1348981831068
6,post_mean,iteration2_Hcore_after,152.3645848553495,152.2696215778196
6,post_mean,iteration2_wall2,29.906494274993484,29.89713923575393
7,post_hi_95,iteration1_avg_fuel_temp,1016.42,1005.25
7,post_hi_95,iteration1_max_fuel_temp,1104.03,1084.08
7,post_hi_95,iteration1_max_monolith_temp,1069.19,1046.44
7,post_hi_95,iteration1_max_global_stress,161.35,205.0
7,post_hi_95,iteration1_monolith_new_temperature,955.4422196592132,951.8640751132843
7,post_hi_95,iteration1_Hcore_after,151.99978340107268,152.60385971511394
7,post_hi_95,iteration1_wall2,29.880976656305226,29.957334141655103
7,post_hi_95,iteration2_keff,1.1047591508794818,1.10211781052629
7,post_hi_95,iteration2_avg_fuel_temp,1001.24,996.62
7,post_hi_95,iteration2_max_fuel_temp,1075.35,1065.95
7,post_hi_95,iteration2_max_monolith_temp,1037.73,1027.48
7,post_hi_95,iteration2_max_global_stress,127.92,173.86
7,post_hi_95,iteration2_monolith_new_temperature,950.8064719804792,949.6507771290054
7,post_hi_95,iteration2_Hcore_after,151.98716513247143,152.59600728700136
7,post_hi_95,iteration2_wall2,29.87793685980064,29.95522280034927
7,post_lo_5,iteration1_avg_fuel_temp,1016.42,1019.1
7,post_lo_5,iteration1_max_fuel_temp,1104.03,1108.7
7,post_lo_5,iteration1_max_monolith_temp,1069.19,1074.58
7,post_lo_5,iteration1_max_global_stress,161.35,121.72
7,post_lo_5,iteration1_monolith_new_temperature,955.4422196592132,956.3391359296209
7,post_lo_5,iteration1_Hcore_after,151.99978340107268,151.87033225688276
7,post_lo_5,iteration1_wall2,29.880976656305226,29.865195884275277
7,post_lo_5,iteration2_keff,1.1047591508794818,1.105292955080115
7,post_lo_5,iteration2_avg_fuel_temp,1001.24,1002.66
7,post_lo_5,iteration2_max_fuel_temp,1075.35,1077.86
7,post_lo_5,iteration2_max_monolith_temp,1037.73,1040.52
7,post_lo_5,iteration2_max_global_stress,127.92,95.85
7,post_lo_5,iteration2_monolith_new_temperature,950.8064719804792,951.2166712490604
7,post_lo_5,iteration2_Hcore_after,151.98716513247143,151.85737052012576
7,post_lo_5,iteration2_wall2,29.87793685980064,29.862083921894296
7,post_mean,iteration1_avg_fuel_temp,1016.42,1010.8
7,post_mean,iteration1_max_fuel_temp,1104.03,1094.13
7,post_mean,iteration1_max_monolith_temp,1069.19,1057.87
7,post_mean,iteration1_max_global_stress,161.35,159.4
7,post_mean,iteration1_monolith_new_temperature,955.4422196592132,953.5665001462999
7,post_mean,iteration1_Hcore_after,151.99978340107268,152.23772958292994
7,post_mean,iteration1_wall2,29.880976656305226,29.911329675628775
7,post_mean,iteration2_keff,1.1047591508794818,1.1038337012539958
7,post_mean,iteration2_avg_fuel_temp,1001.24,999.29
7,post_mean,iteration2_max_fuel_temp,1075.35,1071.72
7,post_mean,iteration2_max_monolith_temp,1037.73,1033.7
7,post_mean,iteration2_max_global_stress,127.92,131.18
7,post_mean,iteration2_monolith_new_temperature,950.8064719804792,950.3150756102823
7,post_mean,iteration2_Hcore_after,151.98716513247143,152.2278440567919
7,post_mean,iteration2_wall2,29.87793685980064,29.9088210462941
8,post_hi_95,iteration1_avg_fuel_temp,1007.09,1005.34
8,post_hi_95,iteration1_max_fuel_temp,1087.44,1084.24
8,post_hi_95,iteration1_max_monolith_temp,1050.25,1046.62
8,post_hi_95,iteration1_max_global_stress,147.38,206.29
8,post_hi_95,iteration1_monolith_new_temperature,952.413786736436,951.8898346752333
8,post_hi_95,iteration1_Hcore_after,152.3245999393179,152.5959503029215
8,post_hi_95,iteration1_wall2,29.92672709344733,29.958071018400492
8,post_hi_95,iteration2_keff,1.104000926314725,1.1023803781000725
8,post_hi_95,iteration2_avg_fuel_temp,998.77,997.78
8,post_hi_95,iteration2_max_fuel_temp,1070.58,1068.38
8,post_hi_95,iteration2_max_monolith_temp,1032.41,1030.13
8,post_hi_95,iteration2_max_global_stress,126.98,179.3
8,post_hi_95,iteration2_monolith_new_temperature,950.1694883680584,949.938658696692
8,post_hi_95,iteration2_Hcore_after,152.31766477959815,152.58904584920566
8,post_hi_95,iteration2_wall2,29.924884035974145,29.956219329133802
8,post_lo_5,iteration1_avg_fuel_temp,1007.09,1020.66
8,post_lo_5,iteration1_max_fuel_temp,1087.44,1111.42
8,post_lo_5,iteration1_max_monolith_temp,1050.25,1077.71
8,post_lo_5,iteration1_max_global_stress,147.38,129.76
8,post_lo_5,iteration1_monolith_new_temperature,952.413786736436,956.8689762381962
8,post_lo_5,iteration1_Hcore_after,152.3245999393179,151.8741741695571
8,post_lo_5,iteration1_wall2,29.92672709344733,29.86782587729851
8,post_lo_5,iteration2_keff,1.104000926314725,1.1052826501303405
8,post_lo_5,iteration2_avg_fuel_temp,998.77,1005.26
