benchmark_case_id,parameter,prior_mean,prior_std,prior_var,prior_q05,prior_q50,prior_q95,prior_width90,prior_width50,posterior_mean,posterior_std,posterior_var,posterior_q05,posterior_q50,posterior_q95,posterior_width90,posterior_width50,mean_shift_abs,width90_ratio_post_over_prior,width50_ratio_post_over_prior,var_ratio_post_over_prior,contraction_flag_width90,contraction_flag_var
5,E_intercept,202280346491.19534,32751180566.307076,1.0726398284868502e+21,151717897293.9837,202085876033.56427,254096134553.57874,102378237259.59503,56222147469.65503,182471488922.25687,6702683621.535505,4.492596773040032e+19,171498360097.9948,182119098569.19525,193660212891.79263,22161852793.79782,9000563894.864838,19808857568.938477,0.21647034943181523,0.16008929398726263,0.04188355358179867,True,True
5,alpha_base,9.484692437205794e-06,1.7134362446617754e-06,2.9358637645206473e-12,6.82229566201375e-06,9.442195552963883e-06,1.2142915063934589e-05,5.320619401920838e-06,3.0013952890371025e-06,1.0675486009152987e-05,4.274240314009738e-07,1.8269130261906063e-13,9.986294209646717e-06,1.0667533642615658e-05,1.1356454659802695e-05,1.370160450155978e-06,6.262276032175065e-07,1.190793571947193e-06,0.2575189741369822,0.2086454941489599,0.06222744557388872,True,True
5,alpha_slope,5.041682917018564e-09,8.545357160102415e-10,7.302312899371362e-19,3.7235003620963215e-09,5.044619787276309e-09,6.38203555293953e-09,2.658535190843208e-09,1.4708892648309404e-09,5.0105304773711536e-09,4.1104062229359227e-10,1.6895439317550358e-19,4.337279227234139e-09,5.040424062057804e-09,5.630878295899061e-09,1.2935990686649222e-09,5.861881616560302e-10,3.115243964741049e-11,0.4865833911548228,0.398526371543955,0.23137106763810197,True,True
5,SS316_k_ref,22.780746509467868,4.1128324228401265,16.91539053836499,16.390790403920267,22.83099777574001,29.20346197429941,12.812671570379145,7.014006408104738,23.407549357634696,1.3736819178856894,1.8870020115261057,21.34657340702826,23.26693210263771,25.800920068930274,4.454346661902015,1.8451720988046496,0.6268028481668289,0.3476516694769384,0.26306963402151146,0.11155533224292319,True,True
6,E_intercept,202953660969.7317,32633906468.455574,1.0649718513919065e+21,151534602637.5711,203152090185.93207,253324397013.14233,101789794375.57123,56891288546.431946,195999431271.3529,7623242466.545856,5.811382570374816e+19,183766421804.69327,195746412383.81644,208245616097.69717,24479194293.003906,9742107874.665405,6954229698.378784,0.24048770746783948,0.17124076679533043,0.054568414768704006,True,True
6,alpha_base,9.505079774197445e-06,1.7008798970462087e-06,2.8929924241759213e-12,6.820942707713686e-06,9.508724758931094e-06,1.214983205664018e-05,5.328889348926494e-06,2.9286518562985226e-06,1.058203708394509e-05,5.443689802562272e-07,2.9633758666520467e-13,9.592101722819738e-06,1.058245775343945e-05,1.1477307299463145e-05,1.8852055766434072e-06,7.018812290609148e-07,1.0769573097476439e-06,0.35377082412551547,0.23966017932497158,0.10243289411641561,True,True
6,alpha_slope,5.03480566349779e-09,8.425617714319118e-10,7.099103386784813e-19,3.7203078160713385e-09,5.0277752597385875e-09,6.360652581523207e-09,2.6403447654518685e-09,1.4322282258850398e-09,5.015672025517591e-09,5.16166141935087e-10,2.664274860801524e-19,4.1491556274166355e-09,5.015097447010186e-09,5.942928029743257e-09,1.7937724023266213e-09,6.644023977796614e-10,1.913363798019927e-11,0.679370522288454,0.463894221445815,0.37529737427984905,True,True
6,SS316_k_ref,22.839318365127355,4.076112968593782,16.61469693273842,16.454447370115858,22.813592712467255,29.15682591763601,12.702378547520151,7.051905127361522,28.098878608508507,1.2680897021924287,1.6080514928064826,25.942146495346815,28.326967123236845,29.736411252775557,3.794264757428742,1.9613738690731992,5.259560243381152,0.2987050608855839,0.27813389908820985,0.09678488264434716,True,True
7,E_intercept,202566478759.09186,32617648904.767883,1.0639110200747055e+21,151606687157.56448,202050055117.5888,253550445522.55023,101943758364.98575,56424989690.89032,200089860414.84344,6939883394.236655,4.816198152560167e+19,188505397621.82193,199883478114.76367,211195946776.60614,22690549154.78421,9380226975.479431,2476618344.248413,0.222579091831655,0.16624242249518473,0.04526880595918618,True,True
7,alpha_base,9.471552317092414e-06,1.7078373397937834e-06,2.916708379193907e-12,6.799278956411493e-06,9.472620157808912e-06,1.2170601715629834e-05,5.371322759218341e-06,2.928702944119269e-06,9.596029478617927e-06,4.4324590792049064e-07,1.9646693488826006e-13,8.93259354202799e-06,9.570005052565149e-06,1.034875255145266e-05,1.416159009424671e-06,6.472488986037834e-07,1.2447716152551267e-07,0.26365181779371544,0.22100189433805023,0.06735912862929333,True,True
