level,input,input_bin,n_in_bin,output,iter,group,bin_x_mean,bin_x_min,bin_x_max,MAE_bin,RMSE_bin,y_true_mean_bin,y_pred_mean_bin,sigma_mean_bin,PICP90_bin
2,nu,"(-inf, 0.281]",89,iteration2_wall2,iter2,primary,0.2638275236759677,0.1973291408519364,0.2809579659449052,0.0010343516066340722,0.0013023061744254537,29.912463920728182,29.912899017333984,0.00311179814223921,0.9887640449438202
2,nu,"(0.281, 0.3]",85,iteration2_keff,iter2,primary,0.2914428470038116,0.28115251733462,0.2999088196168869,0.0002166569936582655,0.0002626034002393486,1.1035874230577334,1.1036176681518555,0.000342377572085049,0.9529411764705882
2,nu,"(0.281, 0.3]",85,iteration2_max_fuel_temp,iter2,primary,0.2914428470038116,0.28115251733462,0.2999088196168869,3.0153043428308726,3.833805553823284,1072.9021176470587,1073.244873046875,4.056784498853245,0.9411764705882353
2,nu,"(0.281, 0.3]",85,iteration2_max_monolith_temp,iter2,primary,0.2914428470038116,0.28115251733462,0.2999088196168869,3.4968842486213174,4.371399818935362,1035.152,1035.4759521484375,4.64187358653831,0.9176470588235294
2,nu,"(0.281, 0.3]",85,iteration2_max_global_stress,iter2,primary,0.2914428470038116,0.28115251733462,0.2999088196168869,4.528244377585018,5.706643842978189,153.4521176470588,154.7882537841797,8.062733083415955,0.9647058823529412
2,nu,"(0.281, 0.3]",85,iteration2_wall2,iter2,primary,0.2914428470038116,0.28115251733462,0.2999088196168869,0.0009699705287507959,0.001141221667561502,29.91462490271661,29.915294647216797,0.0031616939260267632,1.0
2,nu,"(0.3, 0.3167]",87,iteration2_keff,iter2,primary,0.30804452813001365,0.299988930208465,0.3163737278525697,0.00019714720961039705,0.00025413094631264346,1.1035325368288147,1.1035325527191162,0.00035885847557340497,0.9540229885057471
2,nu,"(0.3, 0.3167]",87,iteration2_max_fuel_temp,iter2,primary,0.30804452813001365,0.299988930208465,0.3163737278525697,3.9535665297234113,4.959489482446541,1075.1743678160917,1074.8460693359375,4.326346376237783,0.9195402298850575
2,nu,"(0.3, 0.3167]",87,iteration2_max_monolith_temp,iter2,primary,0.30804452813001365,0.299988930208465,0.3163737278525697,4.419917834051725,5.539389976222462,1037.7324137931034,1037.4107666015625,4.920054826802748,0.9310344827586207
2,nu,"(0.3, 0.3167]",87,iteration2_max_global_stress,iter2,primary,0.30804452813001365,0.299988930208465,0.3163737278525697,6.792163054367593,8.671294335266925,162.59011494252874,162.6279296875,8.34272330414641,0.9310344827586207
2,nu,"(0.3, 0.3167]",87,iteration2_wall2,iter2,primary,0.30804452813001365,0.299988930208465,0.3163737278525697,0.0010234931081729774,0.0012680053610942066,29.919395122667215,29.919797897338867,0.0031966056538443284,1.0
