level,input,output,iter,group,pearson_input_true,spearman_input_true,pearson_input_pred,spearman_input_pred,pearson_input_abs_error,spearman_input_abs_error,pearson_input_sq_error,spearman_input_sq_error,pearson_input_sigma,spearman_input_sigma
2,alpha_base,iteration2_max_global_stress,iter2,primary,0.2836931731469404,0.24768466625121102,0.31773012972587267,0.2807153356587923,-0.029355744984506243,-0.039826880283391805,-0.021713072705461196,-0.039826880283391805,-0.024912924081182595,-0.02214286521434209
2,alpha_base,iteration2_monolith_new_temperature,iter2,secondary,-0.05395113090803789,-0.04806635138433807,-0.024855688920692905,-0.002697470407721103,-0.1114281952427432,-0.12470770521759278,-0.07383803452633882,-0.12470770521759278,-0.26154668493345423,-0.3017739790559044
2,alpha_base,iteration2_Hcore_after,iter2,secondary,0.22921883669924661,0.8434303678248157,0.8531279900546861,0.8589589326376662,-0.011391769576222819,0.0712309617076506,-0.012740663407696242,0.0712309617076506,0.2468113201185304,0.2688633202003501
2,alpha_base,iteration2_wall2,iter2,primary,0.8755058306636713,0.8781102210682212,0.878964580451616,0.8814437544105612,0.05243388357004647,0.09594230431762892,0.017777375128534417,0.09594230431762892,-0.31819918567651057,-0.2851227111956468
2,alpha_slope,iteration1_keff,iter1,secondary,,,-0.07794791060491887,-0.08394934866722431,0.08133856730257664,0.041807424307483285,0.0986784283672555,0.041807424307483285,-0.019267739990179902,-0.028152046286809132
2,alpha_slope,iteration1_avg_fuel_temp,iter1,secondary,-0.06704373494506032,-0.0032048284512406293,-0.047092843136187286,0.0011796382899829161,-0.10128334602030248,-0.07335659807382243,-0.07733530661303427,-0.07335659807382243,-0.17259031876279665,-0.15011547816053009
2,alpha_slope,iteration1_max_fuel_temp,iter1,secondary,-0.06489266492835603,-0.0033116507475895148,-0.042925532953901814,-0.0019787352386959767,-0.10738173295902567,-0.0810584682919491,-0.07969436418733077,-0.0810584682919491,-0.2034685165525183,-0.18399317657621383
2,alpha_slope,iteration1_max_monolith_temp,iter1,secondary,-0.06556504721712435,-0.0032787740854894605,-0.039569605830200555,0.0019059508353323432,-0.11011963843314322,-0.07926061929602944,-0.08838320617730322,-0.07926061929602944,-0.18334557794312803,-0.15355824627743628
2,alpha_slope,iteration1_max_global_stress,iter1,secondary,0.16589991751216382,0.19315914080403562,0.1893217183712923,0.21304247106863378,-0.024329245267118545,-0.006467926502471143,-0.004241331812430241,-0.006467926502471143,-0.0261618565022499,-0.01997935359717775
2,alpha_slope,iteration1_monolith_new_temperature,iter1,secondary,-0.07156253834937532,-0.0032194277735060456,-0.053091225509982076,-0.007767841236713804,-0.1230189336409415,-0.09561219586972781,-0.09219814109419049,-0.09561219586972781,-0.1588049543750255,-0.14046275235962064
2,alpha_slope,iteration1_Hcore_after,iter1,secondary,0.5820767973679691,0.5319821520056445,0.5605513671795459,0.5146064902318913,-0.10886785106547836,-0.034581185158865844,-0.1367012036344107,-0.034581185158865844,0.3256957604662649,0.3335376057122289
2,alpha_slope,iteration1_wall2,iter1,secondary,0.435620566639748,0.3989831773280623,0.4359649511986039,0.3978741435510253,0.0011355098065209486,-0.0022769060670023854,0.007678521119016564,-0.0022769060670023854,-0.11486111395183062,-0.09987599328943908
2,alpha_slope,iteration2_keff,iter2,primary,-0.4872933247596253,-0.448753649803412,-0.48678740015058164,-0.4388145693356327,0.020648544180230495,0.0107610709422897,-0.010277976515952547,0.0107610709422897,0.3213195098596722,0.3285445834056163
2,alpha_slope,iteration2_avg_fuel_temp,iter2,secondary,-0.03698466167036742,0.013690568870080473,-0.025704871561142716,0.01659293228853681,-0.05960890465868549,-0.06136661307776165,-0.022080279609589994,-0.06136661307776165,-0.1494535048555413,-0.08985617495758022
2,alpha_slope,iteration2_max_fuel_temp,iter2,primary,-0.04253822305411354,0.006606252316841077,-0.03262902367582594,0.0028868446344954457,-0.07111694026817887,-0.06676555419565762,-0.031903102410505826,-0.06676555419565762,-0.18576065732674077,-0.14355133012547777
2,alpha_slope,iteration2_max_monolith_temp,iter2,primary,-0.03688985538838195,0.012644408942280095,-0.029290934423758446,0.01581297000077699,-0.05601524473334881,-0.04701574852932306,-0.024694394231200505,-0.04701574852932306,-0.26119955886383345,-0.2088305289273872
2,alpha_slope,iteration2_max_global_stress,iter2,primary,0.2099095457463187,0.22964372160546442,0.22319150396931817,0.24340611135643664,0.009335974997022572,0.010723749393233957,0.026067651126098722,0.010723749393233957,-0.009394024868590683,-0.005190977046564508
