case_id,folder_name,subfolder_name,iteration,平均燃料温度,燃料最高温度,单体最高温度,全局最大应力,fuel_new_temperature,monolith_new_temperature,fuel_temp_error,monolith_temp_error,max_fuel_center_temp,max_monolith_temp,Hcore_before,Hcore_after,wall1,wall2,pitch_fuel,pitch_HP,Hcore,monolith_volume_change,total_time,thermal_run_time
2025_05_28_22_02_26_20,2025_05_28_22_02_26,20,2,970.87,1037.79,1024.98,129.4,970.8660569252871,943.1276296206878,0.031100742743842787,0.004239460440081827,1037.7919605592015,1024.9789921581028,152.16441623381496,152.16497670371473,8.84,29.918611972583832,1.5999874209038518,2.7712595044765616,152.16497670371473,1.3544726181745976e-05,521.6354577541351,N/A
2025_05_28_22_02_26_20,2025_05_28_22_02_26,20,3,970.87,1037.79,1024.98,129.4,970.8666427026885,943.1278077977179,7.984310810025768e-06,3.905024906196522e-06,1037.7925444713746,1024.978117645132,152.16497670371473,152.16497722218222,8.84,29.918611736074215,1.5999999873518402,2.771281270202948,152.16497722218222,1.3915206024688236e-08,522.5097024440765,N/A
2025_05_28_22_02_26_0,2025_05_28_22_02_26,0,1,967.73,1030.77,1025.94,130.55,967.7321670030726,942.9350096944933,1.11754337573736,1.0760418572292774,1030.768859156994,1025.9385724784584,150.0,152.54999903457895,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.54999903457895,0.03777395358039755,415.9895613193512,N/A
2025_05_28_22_02_26_0,2025_05_28_22_02_26,0,2,969.45,1034.15,1024.96,129.38,969.4549481442273,943.1310557918869,0.024529801865280403,0.004314868615893923,1034.1485409966085,1024.9593695829658,152.54999903457895,152.55068450515995,8.84,29.918607450327872,1.5999871790626643,2.7712590855953376,152.55068450515995,1.3065844945508987e-05,512.1291599273682,N/A
2025_05_28_22_02_26_0,2025_05_28_22_02_26,0,3,969.46,1034.15,1024.96,129.38,969.4554292110344,943.1312788863129,6.685666788598013e-06,4.88909191662302e-06,1034.1486687141892,1024.9582961994292,152.55068450515995,152.55068528524117,8.84,29.91860718177984,1.5999999856384743,2.7712812672353113,152.55068528524117,1.4555457613929575e-08,521.8361020088196,N/A
2025_05_28_22_02_26_17,2025_05_28_22_02_26,17,1,968.53,1032.84,1025.94,130.55,968.5345326528303,942.9350096944933,1.1188862471177077,1.0760418572292774,1032.8413460344354,1025.9385724784584,150.0,152.16441623381496,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.16441623381496,0.03533568435077399,473.4816474914551,N/A
2025_05_28_22_02_26_17,2025_05_28_22_02_26,17,2,970.83,1037.69,1024.98,129.4,970.8251323506272,943.1276388706889,0.03224628377569294,0.004239664027604914,1037.6867944246728,1024.9789497564857,152.16441623381496,152.1649767306308,8.84,29.918611968081727,1.5999874206630884,2.771259504059547,152.1649767306308,1.354487904034746e-05,524.1108822822571,N/A
2025_05_28_22_02_26_17,2025_05_28_22_02_26,17,3,970.83,1037.69,1024.98,129.4,970.8257356572824,943.1278126038791,8.227829065601833e-06,3.807630517269348e-06,1037.6874948757386,1024.9781043598675,152.1649767306308,152.16497723616737,8.84,29.91861173740807,1.5999999876639381,2.7712812707435175,152.16497723616737,1.3572746968971278e-08,522.9854865074158,N/A
2025_05_28_22_02_26_15,2025_05_28_22_02_26,15,1,968.8,1033.53,1025.94,130.55,968.79958300445,942.9350096944933,1.1193298460325523,1.0760418572292774,1033.5259626001398,1025.9385724784584,150.0,152.1988515943569,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.1988515943569,0.03555394199965479,465.04420733451843,N/A
2025_05_28_22_02_26_15,2025_05_28_22_02_26,15,2,971.09,1038.37,1024.98,129.4,971.0899957379954,943.1279210805264,0.032123788625838715,0.004245875313559558,1038.3651015631708,1024.9772936527643,152.1988515943569,152.19941995735533,8.84,29.91861157541001,1.5999873996637917,2.771259467687698,152.19941995735533,1.3522788872154292e-05,521.1227176189423,N/A
2025_05_28_22_02_26_15,2025_05_28_22_02_26,15,3,971.09,1038.37,1024.98,129.4,971.0905969217476,943.1280979724472,8.16936794457965e-06,3.876834985780451e-06,1038.365807587808,1024.9764579939092,152.19941995735533,152.1994204785434,8.84,29.918611346505855,1.5999999877585682,2.7712812709074215,152.1994204785434,1.3341061830577918e-08,524.9045989513397,N/A
2025_05_28_22_02_26_4,2025_05_28_22_02_26,4,1,967.73,1030.77,1025.94,130.55,967.7321670030726,942.9350096944933,1.11754337573736,1.0760418572292774,1030.768859156994,1025.9385724784584,150.0,152.3704355476929,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.3704355476929,0.0366400022108512,480.53361535072327,N/A
2025_05_28_22_02_26_4,2025_05_28_22_02_26,4,2,969.46,1034.16,1024.97,129.39,969.4551896774303,943.1294637780452,0.02453324093335076,0.004279829251923762,1034.158705964163,1024.968495255509,152.3704355476929,152.3710784216068,8.84,29.918609566021598,1.5999872922057257,2.771259281564868,152.3710784216068,1.318515187386822e-05,518.0231857299805,N/A
2025_05_28_22_02_26_4,2025_05_28_22_02_26,4,3,969.46,1034.16,1024.97,129.39,969.4556766530089,943.1296817049254,6.767761724948564e-06,4.7760122982896624e-06,1034.158775001516,1024.9674051831798,152.3710784216068,152.37107914211848,8.84,29.918609290949533,1.5999999852895803,2.7712812666310094,152.37107914211848,1.5418213121959352e-08,516.1635382175446,N/A
2025_05_28_22_02_26_18,2025_05_28_22_02_26,18,1,968.05,1031.58,1025.94,130.55,968.0457749328792,942.9350096944933,1.1180682425654882,1.0760418572292774,1031.578899630932,1025.9385724784584,150.0,152.16441623381496,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.16441623381496,0.03533568435077399,466.83672618865967,N/A
