case_id,folder_name,subfolder_name,total_iterations,final_fuel_temp_error,final_monolith_temp_error,fuel_converged,monolith_converged,final_avg_fuel_temp,final_max_fuel_temp,final_max_monolith_temp,final_max_stress,final_Hcore,final_wall1,final_wall2,final_pitch_fuel,final_pitch_HP,total_simulation_time,k_eff,std
2025_05_28_22_02_26_5,2025_05_28_22_02_26,5,3,6.733829990553833e-06,4.9247533923589355e-06,True,True,969.46,1034.15,1024.96,129.38,152.54553521740206,8.84,29.91860723614882,1.599999984124872,2.771281264613675,1485.6909432411194,N/A,N/A
2025_05_28_22_02_26_23,2025_05_28_22_02_26,23,3,8.89104709678688e-06,4.048195326480181e-06,True,True,969.85,1035.19,1024.97,129.39,152.3114183731423,8.84,29.918609989244384,1.5999999882520686,2.7712812717621893,1413.5129659175873,N/A,N/A
2025_05_28_22_02_26_8,2025_05_28_22_02_26,8,3,7.755292757111352e-06,4.557210039051689e-06,True,True,969.48,1034.2,1024.96,129.38,152.5506852734085,8.84,29.91860719095615,1.5999999864713235,2.7712812686778485,1510.4568140506744,N/A,N/A
2025_05_28_22_02_26_12,2025_05_28_22_02_26,12,3,8.297401375039569e-06,4.001370579282564e-06,True,True,971.09,1038.37,1024.98,129.4,152.1649772012364,8.84,29.918611743836856,1.599999988546676,2.7712812722724647,1435.7626340389252,N/A,N/A
2025_05_28_22_02_26_30,2025_05_28_22_02_26,30,1,1.1175663798253566,1.0760418572292774,False,False,967.75,1030.8,1025.94,130.55,152.31080790723956,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,N/A,N/A,N/A
2025_05_28_22_02_26_14,2025_05_28_22_02_26,14,3,8.297401375039569e-06,4.001370579282564e-06,True,True,971.09,1038.37,1024.98,129.4,152.16497720150923,8.84,29.918611743836856,1.599999988546676,2.7712812722724647,1414.5833132266998,N/A,N/A
2025_05_28_22_02_26_11,2025_05_28_22_02_26,11,3,8.297401375039569e-06,4.001370579282564e-06,True,True,971.09,1038.37,1024.98,129.4,152.1649772012364,8.84,29.918611743836856,1.599999988546676,2.7712812722724647,1500.438234090805,N/A,N/A
2025_05_28_22_02_26_3,2025_05_28_22_02_26,3,3,6.685666788598013e-06,4.88909191662302e-06,True,True,969.46,1034.15,1024.96,129.38,152.5506852852897,8.84,29.91860718177984,1.5999999856384743,2.7712812672353113,1402.1882846355438,N/A,N/A
2025_05_28_22_02_26_24,2025_05_28_22_02_26,24,3,8.89104709678688e-06,4.048195326480181e-06,True,True,969.85,1035.19,1024.97,129.39,152.31141837314226,8.84,29.918609989244384,1.5999999882520686,2.7712812717621893,1416.4269571304321,N/A,N/A
2025_05_28_22_02_26_19,2025_05_28_22_02_26,19,3,7.793569830228152e-06,4.207937989908811e-06,True,True,971.09,1038.37,1024.98,129.4,152.1649771982038,8.84,29.91861174591339,1.5999999876446884,2.771281270710176,1517.7637219429016,N/A,N/A
