E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2,iteration3_avg_fuel_temp,iteration3_max_fuel_temp,iteration3_max_monolith_temp,iteration3_max_global_stress,iteration3_monolith_new_temperature,iteration3_Hcore_after,iteration3_wall2
-63334053.48111618,222281997410.7889,0.3453360659637082,1.0346186731081712e-05,4.966016423579204e-09,1051.1745138833496,21.58408317428214,0.0123132902397328,913.13,931.8,926.1980315769796,49.5,903.122365936991,152.21096712992315,29.90052343362346,914.94,936.53,926.052462849092,49.23,903.151375339128,152.2110576652654,29.900530399021388,914.94,936.53,926.0524648286812,49.23,903.151347016387,152.2110575768724,29.90053039056528
-59888039.84916742,156453568836.21222,0.2428024998549573,9.676439295011295e-06,5.273697231496512e-09,949.7131680766888,24.739160956612405,0.0144533109077276,913.49,932.79,926.1980315769796,25.82,903.122365936991,152.17038490579358,29.87279959525394,915.41,937.8,926.0504059391916,25.67,903.1517305947308,152.17047645433342,29.872806153973823,915.41,937.8,926.0504013225402,25.67,903.1517039295488,152.1704763712003,29.87280614477435
-60821834.46614334,194538567071.21017,0.3188476788315408,9.971914861412213e-06,5.177433787083766e-09,787.5087181817667,23.832403903342527,0.012851597980033,914.33,935.07,926.198011339298,39.73,903.1223682008756,152.19472300325856,29.89175982313804,916.19,939.91,926.0518945815252,39.51,903.1514632775852,152.19481411598198,29.8917667286891,916.19,939.91,926.0518707862273,39.51,903.1514313414162,152.19481401597156,29.891766717956035
-81074930.9275615,183296981264.9847,0.2769323299569438,1.001224124934676e-05,5.953560371768332e-09,959.3337049101016,21.329828489957453,0.0132861260491319,913.15,931.87,926.1980315769796,30.99,903.122365936991,152.32668294375384,29.896352336977625,915.09,936.94,926.0506256358216,30.82,903.1516140406194,152.32678188454872,29.896359654808062,915.09,936.94,926.0506227037692,30.82,903.1515837066612,152.32678178193393,29.89635964444148
-82572304.3701002,213997517483.95712,0.3415017730769497,1.0657454807280397e-05,4.739465344077471e-09,888.97789353482,22.418509827392,0.0147799976086129,913.62,933.14,926.1980315769796,41.86,903.122365936991,152.21620967476008,29.901714085667823,915.9,939.12,926.0525200504198,41.63,903.1513527695886,152.21629941828155,29.90172093409437,915.9,939.12,926.052530367859,41.63,903.151313066412,152.21629929535936,29.901720920746303
-67463299.32855102,194495022195.58777,0.3335980458696186,1.0256680926422311e-05,5.189447184986706e-09,1062.2850786934528,22.201389512128944,0.0151044722858175,912.47,930.0,926.1980315769796,39.64,903.122365936991,152.23525779035262,29.900187177517186,914.47,935.27,926.0521240757008,39.42,903.1514287477204,152.23535015375668,29.900194244875536,914.47,935.27,926.052113647322,39.42,903.1514012493236,152.23535006636445,29.90019423588924
-62937925.97459157,214042188109.6276,0.3113760113716816,1.113161995262122e-05,4.9312558351410256e-09,975.7634129901433,24.33981636542096,0.0130488083796499,913.83,933.71,926.1980315769796,47.08,903.122365936991,152.31170302220272,29.907222995848237,915.72,938.63,926.0518401719332,46.81,903.1514113743676,152.31179677301006,29.907229980890243,915.72,938.63,926.051837463292,46.81,903.1513757972142,152.3117966581759,29.907229967850284
-71241978.33434804,188396456917.8708,0.2972414836828226,1.095803076104386e-05,5.266063723167332e-09,893.7316906911677,23.123433080775143,0.0148688744205074,913.09,931.71,926.1980315769796,36.7,903.122365936991,152.34275584640264,29.90648803148607,914.96,936.59,926.0513571480232,36.5,903.1514852513194,152.34285215767505,29.90649516738231,914.96,936.59,926.0513495109356,36.5,903.1514541187478,152.34285205470428,29.90649515543544
-77270226.05051726,167303966075.9013,0.3615346917283356,1.0392068638154623e-05,5.247220330551972e-09,929.4412323851476,23.092237915060277,0.0134650390050333,913.35,932.42,926.1980315769796,30.6,903.122365936991,152.26301469741637,29.909478252598497,915.15,937.11,926.0526263073252,30.43,903.1513129413248,152.26310780900528,29.909485524828742,915.15,937.11,926.0526574663834,30.43,903.151284202835,152.26310771656378,29.909485514534627
-74704862.90462911,225622948746.7868,0.3465211696546003,8.509166632351222e-06,4.455252692992779e-09,1029.199602302153,25.189098950508107,0.015094620841761,913.84,933.75,926.1980315769796,40.15,903.122365936991,151.87886220730724,29.85803204538521,916.24,940.04,926.0526049190802,39.93,903.151517722263,151.8789404498933,29.858038119685112,916.24,940.04,926.0526376947404,39.93,903.1514787149292,151.87894034519795,29.85803810843575
