case_i,pool_case_index,label,category,row_idx,stress_true_MPa,theta9_post__E_slope,theta9_post__E_intercept,theta9_post__nu,theta9_post__alpha_base,theta9_post__alpha_slope,theta9_post__SS316_T_ref,theta9_post__SS316_k_ref,theta9_post__SS316_alpha,theta9_post__SS316_scale,y_true__iteration1_avg_fuel_temp,y_true__iteration1_max_fuel_temp,y_true__iteration1_max_monolith_temp,y_true__iteration1_max_global_stress,y_true__iteration1_monolith_new_temperature,y_true__iteration1_Hcore_after,y_true__iteration1_wall2,y_true__iteration2_keff,y_true__iteration2_avg_fuel_temp,y_true__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_true__iteration2_monolith_new_temperature,y_true__iteration2_Hcore_after,y_true__iteration2_wall2
13,13,post_lo_5,high,394,176.02,-65713531.40181972,182979369778.13043,0.3181819182490276,8.64911241541284e-06,4.086529022370886e-09,831.8546393344685,18.397663698454657,0.013163404534757,0.01,1028.89,1125.55,1094.06,229.43,959.7161409130496,152.23839633943328,29.911504384388174,1.104173392795757,1007.7,1087.08,1051.04,176.02,952.7107575200536,152.2169696691981,29.90658636430181
13,13,post_hi_95,high,394,176.02,-65713531.40181972,226308822349.25305,0.3181819182490276,1.1657760786096797e-05,5.819246118297268e-09,831.8546393344685,25.888109018690955,0.013163404534757,0.01,1028.89,1125.55,1094.06,229.43,959.7161409130496,152.23839633943328,29.911504384388174,1.104173392795757,1007.7,1087.08,1051.04,176.02,952.7107575200536,152.2169696691981,29.90658636430181
14,14,post_mean,high,3,193.4,-61615762.45853707,203471651913.4784,0.3290484526028027,1.0153712600131529e-05,5.033448006265208e-09,1167.281858676719,23.456358843690914,0.0131183526312603,0.01,1012.13,1096.5,1060.58,237.78,953.9915345887432,152.4177950509941,29.93603393204168,1.1032826700602252,999.68,1072.17,1034.38,193.4,950.4085241622648,152.40596305590515,29.933077040687326
14,14,post_lo_5,high,3,193.4,-61615762.45853707,180953909968.66,0.3290484526028027,8.60829189941274e-06,4.181431917446326e-09,1167.281858676719,20.13933585904431,0.0131183526312603,0.01,1012.13,1096.5,1060.58,237.78,953.9915345887432,152.4177950509941,29.93603393204168,1.1032826700602252,999.68,1072.17,1034.38,193.4,950.4085241622648,152.40596305590515,29.933077040687326
14,14,post_hi_95,high,3,193.4,-61615762.45853707,226868534253.38733,0.3290484526028027,1.1795199061456984e-05,5.841950897634705e-09,1167.281858676719,26.7166578154496,0.0131183526312603,0.01,1012.13,1096.5,1060.58,237.78,953.9915345887432,152.4177950509941,29.93603393204168,1.1032826700602252,999.68,1072.17,1034.38,193.4,950.4085241622648,152.40596305590515,29.933077040687326
15,15,post_mean,high,146,163.37,-74718697.91089405,203491868838.0524,0.3171521155612431,1.0130944406962868e-05,5.0428711285180016e-09,894.7282130127417,23.265839028484795,0.0118920645925696,0.01,1006.75,1086.81,1049.54,190.71,952.3095702937014,152.39186779936475,29.92962425048319,1.1033939072545216,998.16,1069.34,1031.07,163.37,950.0199305747536,152.3843898411841,29.927684054300897
15,15,post_lo_5,high,146,163.37,-74718697.91089405,181851375887.2403,0.3171521155612431,8.489788050982327e-06,4.322426818756015e-09,894.7282130127417,19.73842459820772,0.0118920645925696,0.01,1006.75,1086.81,1049.54,190.71,952.3095702937014,152.39186779936475,29.92962425048319,1.1033939072545216,998.16,1069.34,1031.07,163.37,950.0199305747536,152.3843898411841,29.927684054300897
15,15,post_hi_95,high,146,163.37,-74718697.91089405,224674227083.2796,0.3171521155612431,1.1850092327263397e-05,5.800230358906053e-09,894.7282130127417,26.78494036675232,0.0118920645925696,0.01,1006.75,1086.81,1049.54,190.71,952.3095702937014,152.39186779936475,29.92962425048319,1.1033939072545216,998.16,1069.34,1031.07,163.37,950.0199305747536,152.3843898411841,29.927684054300897
16,16,post_mean,high,330,142.79,-68292962.94448261,184954961862.1359,0.330282986298045,9.572179783610084e-06,4.889934860263374e-09,997.54174644944,21.91560459400966,0.0117404472927179,0.01,1017.99,1106.77,1072.35,175.66,955.9662429332844,152.06288998355848,29.89115918897265,1.1044764607669897,1003.63,1079.84,1042.79,142.79,951.4802601767468,152.05027137246702,29.88813505669613
16,16,post_lo_5,high,330,142.79,-68292962.94448261,166251807864.04636,0.330282986298045,8.12892536622417e-06,4.0096205919861285e-09,997.54174644944,18.28895842477233,0.0117404472927179,0.01,1017.99,1106.77,1072.35,175.66,955.9662429332844,152.06288998355848,29.89115918897265,1.1044764607669897,1003.63,1079.84,1042.79,142.79,951.4802601767468,152.05027137246702,29.88813505669613
16,16,post_hi_95,high,330,142.79,-68292962.94448261,204430920401.01367,0.330282986298045,1.1058282479361806e-05,5.7068252912627435e-09,997.54174644944,26.062361852747618,0.0117404472927179,0.01,1017.99,1106.77,1072.35,175.66,955.9662429332844,152.06288998355848,29.89115918897265,1.1044764607669897,1003.63,1079.84,1042.79,142.79,951.4802601767468,152.05027137246702,29.88813505669613
17,17,post_mean,high,265,197.64,-64641998.14874767,219207949422.81845,0.2722274019972425,1.0403869749084672e-05,5.098227509205717e-09,969.4200309796648,22.74412826893281,0.0149686230783145,0.01,1029.17,1126.04,1094.63,275.91,959.817675006772,152.4533003333959,29.927139457060704,1.1031774030231718,1003.86,1079.88,1043.03,197.64,951.5737122062508,152.42548540092747,29.920964087968205
17,17,post_lo_5,high,265,197.64,-64641998.14874767,197592398870.0081,0.2722274019972425,8.983893751490355e-06,4.253862492418479e-09,969.4200309796648,19.52269655749723,0.0149686230783145,0.01,1029.17,1126.04,1094.63,275.91,959.817675006772,152.4533003333959,29.927139457060704,1.1031774030231718,1003.86,1079.88,1043.03,197.64,951.5737122062508,152.42548540092747,29.920964087968205
17,17,post_hi_95,high,265,197.64,-64641998.14874767,240902815895.3285,0.2722274019972425,1.180466908990824e-05,5.942061217999329e-09,969.4200309796648,26.46133262259145,0.0149686230783145,0.01,1029.17,1126.04,1094.63,275.91,959.817675006772,152.4533003333959,29.927139457060704,1.1031774030231718,1003.86,1079.88,1043.03,197.64,951.5737122062508,152.42548540092747,29.920964087968205
